type,timestamp,price,size,cost,commission,signal_strength,reasons,value,profit,profit_pct
BUY,2025-10-15 18:30:00,111444.76,0.08964082295120919,10000.0,10.0,65,"['MACD金叉', 'RSI健康(47.6)', '趋势明确(ADX:29.5)']",,,
SELL,2025-10-16 16:00:00,108133.98,0.0,,9.693218956189597,0,['止损'],9683.525737233405,-306.4742627665946,-2.9707812193233663
BUY,2025-10-20 06:00:00,111054.89,0.08710865601232122,9683.525737233405,9.683525737233406,75,"['EMA金叉(50上穿200)', 'MACD多头排列', 'RSI健康(75.2)', '成交量确认(OBV上升)', '⚠️ 量价背离(假突破风险)', '趋势明确(ADX:33.0)']",,,
SELL,2025-10-24 08:00:00,110812.0,0.0,,9.652684390037338,0,['止损'],9643.031705647301,-30.81050584887089,-0.2187116659158362
