type,timestamp,price,size,cost,commission,signal_strength,reasons,value,profit,profit_pct
BUY,2025-10-02 18:00:00,232.34,42.997331496944135,10000.0,10.0,90,"['处于上升趋势', '强劲上涨(价格高于EMA200 8.2%)', 'MACD多头排列', 'RSI健康(72.8)', '成交量确认(OBV上升)', '趋势明确(ADX:43.5)', '极强趋势(ADX:43.5)']",,,
SELL,2025-10-10 20:00:00,196.84,0.0,,8.463594731858484,0,['止损'],8455.131137126626,-1534.8688628733744,-15.279332013428595
BUY,2025-10-17 03:00:00,187.09,45.147661585277135,8455.131137126626,8.455131137126626,70,"['MACD金叉', 'RSI健康(43.4)', '趋势明确(ADX:46.9)', '极强趋势(ADX:46.9)']",,,
SELL,2025-10-17 06:00:00,180.38,0.0,,8.143735196752289,0,['止损'],8135.591461555537,-311.08454443396204,-3.5865091667112123
BUY,2025-10-26 20:00:00,197.45,41.16209607543166,8135.591461555537,8.135591461555537,75,"['处于上升趋势', 'MACD多头排列', 'RSI健康(56.6)', '成交量确认(OBV上升)', '趋势明确(ADX:34.5)']",,,
SELL,2025-10-28 06:00:00,199.76,0.0,,8.222540312028228,0,['回测结束，强制平仓'],8214.3177717162,86.86190162221828,1.1699164345403912
