type,timestamp,price,size,cost,commission,signal_strength,reasons,value,profit,profit_pct
BUY,2025-10-12 02:00:00,175.88,56.800090971116674,10000.0,10.0,70,"['MACD金叉', 'RSI健康(40.4)', '趋势明确(ADX:41.9)', '极强趋势(ADX:41.9)']",,,
SELL,2025-10-12 02:30:00,174.76,0.0,,9.92638389811235,0,['止损'],9916.457514214238,-73.54248578576153,-0.6367978166932026
BUY,2025-10-17 11:30:00,181.45,54.59653379278051,9916.457514214238,9.916457514214239,65,"['MACD金叉', 'RSI健康(48.3)', '趋势明确(ADX:33.2)']",,,
SELL,2025-10-19 18:00:00,189.72,0.0,,10.35805439116632,0,['止损'],10347.696336775152,441.15528007512876,4.5577294020391355
BUY,2025-10-21 18:00:00,194.35,53.189342116997054,10347.696336775152,10.347696336775153,100,"['EMA金叉(50上穿200)', 'MACD多头排列', 'RSI健康(63.8)', '成交量确认(OBV上升)', '趋势明确(ADX:29.7)']",,,
SELL,2025-10-22 17:00:00,183.12,0.0,,9.740032328464501,0,['止损'],9730.292296136036,-607.0563443023402,-5.7782351427836325
BUY,2025-10-23 00:00:00,179.92,54.02713430324534,9730.292296136036,9.730292296136037,65,"['MACD金叉', 'RSI健康(42.7)', '趋势明确(ADX:39.0)']",,,
SELL,2025-10-28 06:30:00,199.3,0.0,,10.767607866636798,0,['回测结束，强制平仓'],10756.84025877016,1036.2782549302592,10.771453979546479
