type,timestamp,price,size,cost,commission,signal_strength,reasons,value,profit,profit_pct
BUY,2025-10-12 03:00:00,110960.34,0.09003216825038568,10000.0,10.0,60,"['MACD金叉', 'RSI健康(49.6)', '⚠️ 轻微背离(OBV差距3.5%)', '趋势明确(ADX:47.1)', '极强趋势(ADX:47.1)']",,,
SELL,2025-10-12 06:30:00,111686.01,0.0,,10.055333643534258,0,['止损'],10045.278309890722,55.278309890722085,0.6539904257683405
BUY,2025-10-15 18:30:00,111444.76,0.09004670144725362,10045.278309890722,10.045278309890723,65,"['MACD金叉', 'RSI健康(47.6)', '趋势明确(ADX:29.5)']",,,
SELL,2025-10-16 16:00:00,108133.98,0.0,,9.737108213363294,0,['止损'],9727.37110514993,-307.8619264309018,-2.9707812193233663
BUY,2025-10-20 06:00:00,111054.89,0.08750306928443026,9727.37110514993,9.727371105149931,100,"['EMA金叉(50上穿200)', 'MACD多头排列', 'RSI健康(75.2)', '成交量确认(OBV上升)', '注意：微弱背离(OBV差距0.0%)', '趋势明确(ADX:33.0)']",,,
SELL,2025-10-24 08:00:00,110812.0,0.0,,9.696390113546286,0,['止损'],9686.69372343274,-30.950010612041297,-0.2187116659158362
BUY,2025-10-25 09:30:00,111521.47,0.08677259212696269,9686.69372343274,9.68669372343274,55,"['处于上升趋势', 'MACD多头排列', 'RSI健康(57.7)', '注意：微弱背离(OBV差距1.2%)', '趋势明确(ADX:28.5)']",,,
SELL,2025-10-28 08:30:00,114413.11,0.0,,9.927922128007316,0,['回测结束，强制平仓'],9917.99420587931,240.9871761700033,2.5928998245808623
